"full_name","a","e","i","om","w","q","epoch","ma","t_jup"
"   153 Hilda (A875 VC)",3.974,0.1394,7.83,228.09,39.44,3.420,2460000.5,348.83,3.02
"   190 Ismene (A878 SA)",3.993,0.1680,6.18,175.44,271.13,3.322,2460000.5,72.47,3.02
"   334 Chicago (A892 QB)",3.894,0.0250,4.64,130.16,153.64,3.796,2460000.5,53.25,3.06
"   361 Bononia (A893 EF)",3.969,0.2105,12.61,18.78,68.03,3.134,2460000.5,270.01,2.98
"   748 Simeisa (A913 EL)",3.952,0.1893,2.26,265.42,177.74,3.204,2460000.5,89.65,3.03
"   958 Asplinda (A921 SD)",3.992,0.1837,5.63,343.11,92.31,3.259,2460000.5,277.49,3.02
"  1038 Tuckia (A924 WO)",3.981,0.2221,9.19,57.70,305.17,3.097,2460000.5,228.65,2.99
"  1162 Larissa (1930 AC)",3.926,0.1053,1.87,39.66,206.56,3.513,2460000.5,211.24,3.05
"  1180 Rita (1931 GE)",3.983,0.1553,7.19,88.14,205.53,3.365,2460000.5,124.58,3.02
"  1202 Marina (1931 RL)",3.998,0.1678,3.33,49.83,307.70,3.327,2460000.5,232.23,3.03
"  1212 Francette (1931 XC)",3.948,0.1896,7.59,149.56,348.05,3.199,2460000.5,174.29,3.01
"  1256 Normannia (1932 PD)",3.894,0.0796,4.18,236.87,102.00,3.584,2460000.5,260.82,3.06
"  1268 Libya (1930 HJ)",3.982,0.1034,4.43,350.99,118.60,3.571,2460000.5,47.03,3.04
"  1269 Rollandia (1930 SH)",3.903,0.0976,2.76,134.71,19.40,3.522,2460000.5,172.19,3.06
"  1345 Potomac (A908 CE)",3.982,0.1813,11.40,137.43,332.71,3.260,2460000.5,205.52,2.99
"  1439 Vogtia (1937 TE)",3.993,0.1163,4.20,35.55,101.16,3.529,2460000.5,162.72,3.04
"  1512 Oulu (1939 FE)",3.963,0.1422,6.47,10.05,237.69,3.399,2460000.5,224.55,3.03
"  1529 Oterma (1938 BC)",3.986,0.2018,9.06,100.60,294.69,3.182,2460000.5,298.55,3
"  1578 Kirkwood (1951 AT)",3.929,0.2412,0.81,74.00,1.74,2.981,2460000.5,88.82,3.01
"  1746 Brouwer (1963 RF)",3.954,0.2090,8.36,321.93,47.85,3.128,2460000.5,182.65,3
"  1748 Mauderli (1966 RA)",3.949,0.2161,3.30,125.60,198.60,3.096,2460000.5,116.27,3.02
"  1754 Cunningham (1935 FE)",3.94,0.1691,12.15,162.83,110.17,3.274,2460000.5,332.89,3
"  1877 Marsden (1971 FC)",3.946,0.2051,17.54,352.60,305.92,3.137,2460000.5,137.24,2.94
"  1902 Shaposhnikov (1972 HU)",3.968,0.2210,12.48,59.04,266.65,3.091,2460000.5,76.94,2.97
"  1911 Schubart (1973 UD)",3.976,0.1726,1.64,284.83,181.50,3.290,2460000.5,26.20,3.03
"  1941 Wild (1931 TN1)",3.957,0.2897,3.96,60.41,303.03,2.811,2460000.5,178.57,2.98
"  2067 Aksnes (1936 DD)",3.972,0.1832,3.08,150.22,297.06,3.244,2460000.5,81.10,3.02
"  2246 Bowell (1979 XH)",3.951,0.0918,6.50,155.64,21.94,3.588,2460000.5,134.86,3.04
"  2312 Duboshin (1976 GU2)",3.968,0.1586,5.16,61.41,342.40,3.338,2460000.5,114.73,3.03
"  2483 Guinevere (1928 QB)",3.966,0.2773,4.50,252.05,183.07,2.866,2460000.5,254.69,2.98
"  2624 Samitchell (1962 RE)",3.948,0.1178,2.80,161.51,139.18,3.483,2460000.5,296.90,3.05
"  2760 Kacha (1980 TU6)",3.994,0.1199,13.48,352.50,150.32,3.515,2460000.5,356.59,2.99
"  2959 Scholl (1983 RE2)",3.966,0.2730,5.23,121.13,284.33,2.884,2460000.5,331.92,2.98
"  3134 Kostinsky (A921 VA)",3.988,0.2196,7.64,256.95,162.85,3.112,2460000.5,296.23,3
"  3202 Graff (A908 AA)",3.927,0.1141,11.11,205.13,267.99,3.479,2460000.5,188.82,3.02
"  3254 Bus (1982 UM)",3.966,0.1544,4.41,42.77,302.60,3.354,2460000.5,75.12,3.03
"  3290 Azabu (1973 SZ1)",3.952,0.1309,2.77,75.06,108.60,3.435,2460000.5,272.17,3.04
"  3415 Danby (1928 SL)",3.974,0.2494,1.37,253.83,136.10,2.983,2460000.5,336.54,3
"  3514 Hooke (1971 UJ)",3.956,0.1934,3.51,24.27,341.89,3.191,2460000.5,223.60,3.02
"  3561 Devine (1983 HO)",3.957,0.1293,9.68,117.80,176.97,3.445,2460000.5,310.70,3.02
"  3571 Milanstefanik (1982 EJ)",3.933,0.1116,7.86,248.92,21.59,3.494,2460000.5,8.32,3.04
"  3577 Putilin (1969 TK)",3.939,0.1962,3.74,280.16,179.28,3.166,2460000.5,211.60,3.02
"  3694 Sharon (1984 SH5)",3.934,0.2063,4.98,311.08,80.04,3.122,2460000.5,322.51,3.02
"  3843 OISCA (1987 DM)",3.983,0.1447,3.93,28.30,23.63,3.406,2460000.5,265.33,3.03
"  3923 Radzievskij (1976 SN3)",3.965,0.2205,3.49,152.06,282.78,3.091,2460000.5,277.43,3.01
"  3990 Heimdal (1987 SO3)",3.945,0.2422,9.50,192.62,197.95,2.989,2460000.5,162.15,2.98
"  4196 Shuya (1982 SA13)",3.894,0.0268,1.51,166.03,223.53,3.789,2460000.5,54.29,3.06
"  4230 van den Bergh (1973 ST1)",3.946,0.1341,3.10,160.44,19.74,3.417,2460000.5,293.27,3.04
"  4255 Spacewatch (1986 GW)",3.976,0.1484,2.61,183.72,72.71,3.386,2460000.5,198.53,3.04
"  4317 Garibaldi (1980 DA1)",3.988,0.1603,9.82,38.45,94.57,3.349,2460000.5,169.45,3.01
"  4446 Carolyn (1985 TT)",3.987,0.2813,7.24,188.94,117.33,2.865,2460000.5,298.61,2.97
"  4495 Dassanowsky (1988 VS)",3.964,0.1459,5.28,223.39,209.96,3.386,2460000.5,127.19,3.03
"  4757 Liselotte (1973 ST)",3.941,0.0838,0.17,91.17,79.20,3.611,2460000.5,306.60,3.06
"  5368 Vitagliano (1984 SW5)",3.966,0.0813,6.27,159.53,338.21,3.644,2460000.5,180.11,3.04
"  5439 Couturier (1990 RW)",3.951,0.1615,1.22,351.37,327.02,3.313,2460000.5,64.02,3.04
"  5603 Rausudake (1992 CE)",3.985,0.0525,4.37,195.93,8.37,3.775,2460000.5,286.05,3.05
"  5661 Hildebrand (1977 PO1)",3.962,0.2353,13.31,317.05,1.96,3.029,2460000.5,294.96,2.96
"  5711 Eneev (1978 SO4)",3.941,0.1645,6.37,14.14,296.17,3.293,2460000.5,292.87,3.03
"  5928 Pindarus (1973 SK1)",3.97,0.1192,9.28,163.87,104.42,3.496,2460000.5,167.60,3.02
"  6124 Mecklenburg (1987 SL10)",3.986,0.2418,9.37,159.75,243.22,3.022,2460000.5,148.16,2.98
"  6237 Chikushi (1989 CV)",3.931,0.0715,5.36,25.49,207.07,3.650,2460000.5,25.95,3.05
"  6984 Lewiscarroll (1994 AO)",3.975,0.1869,16.80,206.18,247.78,3.232,2460000.5,242.97,2.95
"  7027 Toshihanda (1993 XT)",3.971,0.1936,12.37,77.16,12.46,3.202,2460000.5,257.40,2.98
"  7174 Semois (1988 SQ)",3.995,0.1752,12.65,354.36,290.13,3.295,2460000.5,161.68,2.99
"  7284 (1989 VW)",3.98,0.1668,6.36,47.07,40.31,3.316,2460000.5,40.27,3.02
"  7394 Xanthomalitia (1985 QX4)",3.924,0.0355,8.62,174.66,191.57,3.784,2460000.5,276.23,3.04
"  8086 Peterthomas (1989 RB6)",3.945,0.2073,12.12,28.41,287.58,3.127,2460000.5,110.61,2.98
"  8130 Seeberg (1976 DJ1)",3.998,0.1316,5.96,113.59,91.74,3.472,2460000.5,267.92,3.03
"  8376 (1992 OZ9)",3.986,0.1979,3.51,50.25,257.93,3.198,2460000.5,303.04,3.02
"  8550 Hesiodos (1994 PV24)",3.948,0.2608,2.88,23.49,336.27,2.918,2460000.5,213.27,3
"  8551 Daitarabochi (1994 VC7)",3.994,0.1546,14.16,52.16,260.29,3.376,2460000.5,282.49,2.98
"  8721 AMOS (1996 AO3)",3.884,0.0285,5.45,265.23,86.36,3.773,2460000.5,290.02,3.06
"  8743 Keneke (1998 EH12)",3.932,0.1557,16.67,147.98,133.24,3.320,2460000.5,339.46,2.97
"  8913 (1995 YB2)",3.957,0.1284,1.86,309.71,245.56,3.448,2460000.5,80.67,3.04
"  8915 Sawaishujiro (1995 YK3)",3.928,0.0507,3.69,245.16,326.87,3.729,2460000.5,79.60,3.06
"  9121 Stefanovalentini (1998 DJ11)",3.88,0.0421,4.65,326.78,339.44,3.717,2460000.5,315.27,3.06
"  9661 Hohmann (1996 FU13)",3.95,0.2329,13.00,56.51,287.67,3.030,2460000.5,43.45,2.97
"  9829 Murillo (1973 SJ1)",3.95,0.1273,2.64,181.73,4.18,3.447,2460000.5,275.02,3.04
" 10063 Erinleeryan (1988 SZ2)",3.984,0.0328,2.99,123.90,49.89,3.853,2460000.5,301.68,3.05
" 10296 Rominadisisto (1988 RQ12)",3.954,0.2107,3.51,9.05,98.80,3.121,2460000.5,55.74,3.02
" 10331 Peterbluhm (1991 GM10)",3.994,0.2258,4.64,105.50,233.00,3.092,2460000.5,234.21,3
" 10608 Mameta (1996 VB9)",3.996,0.2560,4.52,159.92,258.29,2.973,2460000.5,101.69,2.99
" 10610 (1996 XR1)",3.962,0.2195,4.63,87.43,283.51,3.092,2460000.5,179.91,3.01
" 10632 (1998 CV1)",3.932,0.2052,8.40,111.14,294.29,3.125,2460000.5,149.53,3.01
" 10889 (1997 AO1)",3.933,0.0681,5.20,112.40,173.63,3.665,2460000.5,319.63,3.05
" 11175 (1998 FY67)",3.961,0.0974,8.75,180.36,79.52,3.575,2460000.5,1.73,3.03
" 11249 Etna (1971 FD)",3.951,0.1940,14.45,3.74,296.61,3.184,2460000.5,109.93,2.97
" 11274 Castillo-Rogez (1988 SX2)",3.968,0.2124,2.30,10.64,53.40,3.126,2460000.5,66.15,3.02
" 11388 (1998 VU4)",3.932,0.1208,8.21,217.21,278.82,3.457,2460000.5,329.60,3.03
" 11410 (1999 FU34)",3.944,0.1650,5.77,39.27,266.07,3.293,2460000.5,288.39,3.03
" 11542 Solikamsk (1992 SU21)",3.948,0.2404,6.87,16.76,49.27,2.999,2460000.5,262.04,3
" 11739 Baton Rouge (1998 SG27)",3.955,0.2478,12.07,269.32,114.47,2.976,2460000.5,12.12,2.97
" 11750 (1999 NM33)",3.971,0.0536,2.68,327.06,330.40,3.758,2460000.5,346.77,3.05
" 11951 (1994 AJ3)",3.967,0.1328,4.43,161.25,312.10,3.440,2460000.5,225.93,3.04
" 12006 Hruschka (1996 OO)",3.967,0.0850,10.25,231.60,8.54,3.630,2460000.5,184.62,3.02
" 12307 (1991 UA)",3.992,0.2538,2.34,352.03,27.18,2.978,2460000.5,345.53,3
" 12896 Geoffroy (1998 QV102)",3.968,0.2867,6.34,46.80,321.67,2.830,2460000.5,33.76,2.97
" 12920 (1998 VM15)",3.978,0.2054,6.35,220.53,86.50,3.161,2460000.5,88.38,3.01
" 13035 (1989 UA6)",3.976,0.1591,3.63,58.12,211.47,3.344,2460000.5,177.42,3.03
" 13317 (1998 RQ77)",3.991,0.2019,7.15,40.29,313.10,3.185,2460000.5,36.31,3.01
" 13381 (1998 WJ17)",3.987,0.2118,4.20,233.63,81.30,3.143,2460000.5,98.52,3.01
" 13504 (1988 RV12)",3.977,0.1719,16.27,186.08,305.56,3.293,2460000.5,345.39,2.96
" 13897 Vesuvius (4216 T-2)",3.986,0.1355,9.25,168.39,142.81,3.446,2460000.5,140.47,3.02
" 14195 (1998 XD51)",3.973,0.1296,7.74,318.22,192.36,3.458,2460000.5,344.84,3.03
" 14569 (1998 QB32)",3.996,0.2845,10.87,345.95,36.98,2.860,2460000.5,4.41,2.95
" 14669 Beletic (1999 DC)",3.989,0.1290,5.77,195.53,247.99,3.475,2460000.5,60.11,3.03
" 14845 Hegel (1988 VS6)",3.955,0.2410,4.90,209.09,210.31,3.001,2460000.5,112.24,3
" 15068 Wiegert (1999 AJ20)",3.967,0.2278,1.74,346.56,93.59,3.063,2460000.5,52.45,3.01
" 15231 Ehdita (1987 RO5)",3.942,0.2934,6.82,158.29,215.89,2.785,2460000.5,180.13,2.97
" 15278 Paquet (1991 PG7)",3.985,0.2167,9.29,344.76,64.34,3.121,2460000.5,280.74,2.99
" 15373 (1996 WV1)",3.967,0.1542,8.43,214.39,206.04,3.356,2460000.5,104.09,3.02
" 15376 Martak (1997 CT1)",3.941,0.3100,2.90,256.32,101.82,2.719,2460000.5,206.38,2.97
" 15417 Babylon (1998 DH34)",3.932,0.0527,3.18,75.73,194.69,3.725,2460000.5,331.67,3.06
" 15426 (1998 SW43)",3.971,0.1640,5.25,239.49,134.87,3.320,2460000.5,30.28,3.03
" 15505 (1999 RF56)",3.951,0.1167,7.98,1.49,215.71,3.490,2460000.5,95.48,3.03
" 15540 (2000 CF18)",3.98,0.1092,16.97,142.46,78.51,3.546,2460000.5,249.47,2.97
" 15545 (2000 EK46)",3.973,0.1763,2.18,348.25,120.96,3.273,2460000.5,20.66,3.03
" 15615 (2000 HU1)",3.972,0.2418,3.00,180.17,152.71,3.012,2460000.5,240.90,3
" 15626 (2000 HR50)",3.956,0.1136,1.80,137.95,288.25,3.507,2460000.5,124.99,3.05
" 15638 (2000 JA65)",3.993,0.1851,9.41,118.61,224.75,3.254,2460000.5,223.29,3
" 15671 Suzannedebarbat (1977 EP6)",3.964,0.1021,7.21,185.07,17.66,3.559,2460000.5,295.28,3.04
